category,company_name,street,suburb,state,code,country,phone,website,mobile,toll_free,fax,abn,postal_address,email,latitude,longitude
Chemists' Supplies,Livingstone Chemists Supplies,106- 116 Epsom Rd,Rosebery,NSW,2018,,1300 302 602,,,,,,,,-33.91167,151.2096
Chemists' Supplies,Budget Dist Pty Ltd,3/ 23 Aylesbury St,Botany,NSW,2019,,(02) 9700 1488,,,,,,,,-33.94757,151.20363
Chemists' Supplies,Chemist Warehouse,149 Oxford St,Bondi Junction,NSW,2022,,,,0410 732 080,,,,,,-33.892161,151.247946
Chemists' Supplies,Robert Blau (Australia) Pty Ltd,U 17/ 20 Barcoo St,Roseville,NSW,2069,,(02) 9882 6400,,,,,,,,-33.785459,151.195129
Chemists' Supplies,Haimex International,PO Box 320,Hornsby,NSW,2077,,(02) 9482 2997,,,,,,,,-33.7031604,151.1004777
Chemists' Supplies,Avent Australia,,Mt Kuring-gai,NSW,2080,,1300 364 474,,,,,,,,-33.6564385,151.1341469
Chemists' Supplies,Plunkett David Agencies Pty Ltd,35 Halloran Ave,Davidson,NSW,2085,,(02) 9451 3551,,,,,,,,-33.73726,151.19405
Chemists' Supplies,Brooks Pharmacy,"Shop 12, Freshwater Village Plaza Ctr",Harbord,NSW,2096,,(02) 9905 3567,,,,,,,,-33.7788932,151.2845453
Chemists' Supplies,Altman Sales Pty Ltd,3 8 Ponderosa Pde,Warriewood,NSW,2102,,(02) 9979 4555,,,,,,,,-33.67905,151.28801
Chemists' Supplies,Pharmacy Suppliers (Aust) Pty Ltd,21 Ryedale Rd,West Ryde,NSW,2114,,(02) 9809 4603,,,,,,,,-33.80777,151.09098
Chemists' Supplies,The Bottle People,9 Widemere Rd (cnr Davis Rd),Wetherill Park,NSW,2164,,(02) 8787 1900,,,,,,"PO Box 6953, Wetherill Park DC NSW 2164",,-33.83735,150.91223
Chemists' Supplies,Gino's Hair Accessories,6 Shaw St,Bexley North,NSW,2207,,(02) 9150 7174,,,,,,,,-33.93789,151.1138
Chemists' Supplies,Chemcorp Pty Ltd,7 Box Rd,Taren Point,NSW,2229,,(02) 9526 0777,,,,,,,,-34.02439,151.12429
Chemists' Supplies,Chemsave,169 The Entrance Rd,Erina,NSW,2250,,243203321,http://www.theentrancechemsave.com.au/links.php,,,,,,,-33.43711,151.381483
Chemists' Supplies,Just-Ess Fundraising,21 Strathmore Rd,Caves Beach,NSW,2281,,(02) 4971 2561,,,,,,,,-33.09887,151.63761
Chemists' Supplies,W.T.C. Sales Broker,4 Hughes Ave,Richmond,NSW,2753,,(02) 4578 1056,,,,,,,,-33.60353,150.73948
Chemists' Supplies,CQ Day & Night Chemmart Pharmacy,150 Alma St,Rockhampton,QLD,4700,,(07) 4922 1621,,,,,,,,-23.38023,150.51127
Chemists' Supplies,Island Wholesale Trading,3/ 47 Anzac Rd,Proserpine,QLD,4800,,(07) 4945 3170,,,,,,,,-20.40448,148.57342
Chemists' Supplies,Aluxe Pty Ltd,Unit 17/ 350 Settlement Rd,Thomastown,VIC,3074,,(03) 9464 0888,,,,,,,,-37.68638,145.02058
Chemists' Supplies,Bellaco Products,15b Glen Rd,Toorak,VIC,3142,,(03) 8256 6097,,,,,,,,-37.83974,145.02589
Chemists' Supplies,Chem-Pharm Wholesale Distributors,Unit 1 95 Dorset Rd,Ferntree Gully,VIC,3156,,(03) 9417 0086,,,,,,,,-37.87419,145.28441
Chemists' Supplies,M.P.S. Laboratories (Australia) Pty Ltd,,Bentleigh,VIC,3204,,(03) 9592 3686,,,,,,"PO Box 277, Bentleigh VIC 3204",,-37.918018,145.035736
Chemists' Supplies,Nepean Pharmacy,1533 Pt Nepean Rd,Rosebud West,VIC,3940,,(03) 5986 5405,,,,,,,nepean.pharmacy@nunet.com.au,-38.36255,144.88404
Chemists' Supplies,Optigen Pty Ltd,308 St Vincent St,Port Adelaide,SA,5015,,(08) 8240 5050,,,,,,,,-34.84384,138.50978
Chemists' Supplies,Pro Pharma Distributors,168 Burswood Rd,Burswood,WA,6100,,,,,1800 641 416,,,,,-31.96465,115.89878
Chemists' Supplies,SWAPS,184 Daly St,Belmont,WA,6104,,(08) 9478 1166,,,,,,,,-31.94632,115.93001
Chemists' Supplies,R & B Ear Candles,74a Rome Rd,Melville,WA,6156,,(08) 9330 7858,,,,,,,,-32.04207,115.809
Chemists' Supplies,Boddington Pharmacy,27 Bannister Rd,Boddington,WA,6390,,(08) 9883 9962,,,,,,,,-32.80132,116.47587
Chemists' Supplies,Toodyay Pharmacy,110 Stirling Tce,Toodyay,WA,6566,,(08) 9574 2393,,,,,,,,-31.5496,116.46799
Chemists--Consulting & Industrial,Novotech Communications Pty Ltd,Level 3/51- 57 Pitt St,Sydney,NSW,2000,,(02) 9247 9849,,,,,,,,-33.863,151.20879
Chemists--Consulting & Industrial,Kilford & Kilford Pty Ltd,27/ 58 Pitt St,Sydney,NSW,2000,,(02) 9251 4532,,,,,,,,-33.86426,151.20905
Chemists--Consulting & Industrial,ChemSkill,Level 57/ 19-29 Martin Pl,Sydney,NSW,2000,,(02) 9238 6202,,,,,,,,-33.867686,151.2093
Chemists--Consulting & Industrial,Baychelier Dr,2 Birtley Pl,Elizabeth Bay,NSW,2011,,(02) 9368 1747,,,,,,,,-33.87244,151.22658
Chemists--Consulting & Industrial,Zoafit,2 Birtley Pl,Elizabeth Bay,NSW,2011,,(02) 9368 1747,,,,,,,,-33.87244,151.22658
Chemists--Consulting & Industrial,Environodour Australia Pty Ltd,,Rosebery,NSW,2018,,,,0419 886 999,,,,,,-33.9225153,151.2041012
Chemists--Consulting & Industrial,EnvironOdour Australia P/L,"Suite 15, 8 Crewe Pl",Rosebery,NSW,2018,,(02) 9662 3388,,,,,,,,-33.91443,151.20687
Chemists--Consulting & Industrial,Intertek Testing Services (Australia) Pty Ltd,12 Exell St,Banksmeadow,NSW,2019,,(02) 9316 6544,http://www.intertek.com,,,,,,,-33.9586,151.21128
Chemists--Consulting & Industrial,Australian Hoistic Laboratories,4 Bay St,Botany,NSW,2019,,(02) 9700 0036,,,,,,,,-33.94379,151.19533
Chemists--Consulting & Industrial,Pharmcon Services,21 Arundal St,Glebe,NSW,2037,,,,0407 677 578,,,,,,-33.88439,151.19014
Chemists--Consulting & Industrial,Waterford Group,"Level 1, 110 Pacific Hwy",North Sydney,NSW,2060,,(02) 9957 4000,,,,,,,,-33.83757,151.20584
Chemists--Consulting & Industrial,Engel Hellyer & Partners Pty Ltd,Level 4/ 815 Pacific Hwy,Chatswood,NSW,2067,,(02) 9413 9799,,,,,,,,-33.79596,151.178177
Chemists--Consulting & Industrial,Envirolab Services,12 Ashley St,Chatswood,NSW,2067,,(02) 9910 6200,http://www.envirolabservices.com.au,,,,,,envirolabservicesau@gmail.com,-33.78671,151.19479
Chemists--Consulting & Industrial,Due Vigilance Associates Pty Ltd,1 Kendall Rd,Castle Cove,NSW,2069,,(02) 9417 5157,,,,,,,,-33.78093,151.20134
Chemists--Consulting & Industrial,Q A Pharmaceutical Services,58 Galston Rd,Hornsby,NSW,2077,,(02) 9482 2729,,,,,,,,-33.68499,151.09643
Chemists--Consulting & Industrial,Ulinga Pharma Pty Ltd,,Frenchs Forest,NSW,2086,,(02) 9975 2040,,,,,,,,-33.7500484,151.2262442
Chemists--Consulting & Industrial,Eden Consulting,4 Sharan Pl,Forestville,NSW,2087,,(02) 9975 6205,,,,,,,,-33.75748,151.20483
Chemists--Consulting & Industrial,Strazeele Consulting,6a Parriwi Rd,Mosman,NSW,2088,,(02) 9960 7549,,,,,,,,-33.81659,151.2441
Chemists--Consulting & Industrial,Crooks Michael PhD,42 Wanganella St,Balgowlah,NSW,2093,,(02) 9948 7351,,,,,,,,-33.79705,151.25782
Chemists--Consulting & Industrial,ALS Metallurgy,16 Ethyl Ave,Brookvale DC,NSW,2100,,(02) 9905 6650,,,,,,,,-33.766596,151.277673
Chemists--Consulting & Industrial,Pharmaceutical Communication Services,3 Keppel Rd,Ryde,NSW,2112,,,,0418 238 393,,,,,,-33.80234,151.11774
Chemists--Consulting & Industrial,National Measurement Institute,"Riverside Corporate Park, 105 Delhi Rd",North Ryde,NSW,2113,,(02) 9449 0111,http://www.measurement.gov.au,,1800 020 076,(02) 9449 1653,,,customerservice@measurement.gov.au,-33.795679,151.144044
Chemists--Consulting & Industrial,Bruce Graham Consulting,,Oatlands,NSW,2117,,(02) 9630 6390,,,,,,"PO Box 120, Oatlands NSW 2117",,-33.7968193,151.025776
Chemists--Consulting & Industrial,Chemcare Consulting Pty Ltd,77a Copeland Rd,Beecroft,NSW,2119,,(02) 9484 0506,,,,,,,,-33.75212,151.05691
Chemists--Consulting & Industrial,Sydney Environmental & Soil Laboratory Pty Ltd,,Thornleigh,NSW,2120,,(02) 9980 6554,,,,,,"PO Box 357, Pennant Hills NSW 2120",,-33.7320572,151.078819
Chemists--Consulting & Industrial,Business Growth Machine,Unit 4/ 13 Berry St,Granville,NSW,2142,,(02) 8868 7000,,,,,,,,-33.83626,151.01856
Chemists--Consulting & Industrial,Silliker Microtech Pty Ltd,"Unit C2, Regents Park Estate 391 Park Rd",Regents Park,NSW,2143,,(02) 8718 6888,,,,,,,,-33.8792,151.02144
Chemists--Consulting & Industrial,Sydney Analytical Laboratories Pty Ltd,1/ 4 Abbott Rd,Seven Hills,NSW,2147,,(02) 9838 8903,http://www.sal.com.au,,,,,,sydney_analytical@bigpond.com,-33.76842,150.94462
Chemists--Consulting & Industrial,Watertest Pty Ltd,1/ 4 Abbott Rd,Seven Hills,NSW,2147,,(02) 9838 8294,,,,,,,,-33.76842,150.94462
Chemists--Consulting & Industrial,Regulatory Concepts,"Unit 9, 7 Anella Ave",Castle Hill,NSW,2154,,(02) 9846 1900,,,,,,,,-33.72658,150.98038
Chemists--Consulting & Industrial,Johnson-Smith Analytical Pty Ltd,69 Schofields Rd,Rouse Hill,NSW,2155,,(02) 9629 1568,,,,,,,,-33.69387,150.90231
Chemists--Consulting & Industrial,Amcal Max Rouse Hill,,Rouse Hill,NSW,2155,,(02) 8882 9033,http://www.amcal.com.au,,,,,,,-33.6820709,150.9156005
Chemists--Consulting & Industrial,ALS Group,277 - 289 Woodpark Rd,Smithfield,NSW,2164,,(02) 8784 8555,http://www.alsglobal.com,,,,,,,-33.836813,150.938796
Chemists--Consulting & Industrial,Scypharm Pty Ltd,13 Manins Ave,Kingsgrove,NSW,2208,,(02) 9150 5177,,,,,,,,-33.93394,151.10135
Chemists--Consulting & Industrial,Dermatest Pty Ltd,22 King St,Rockdale,NSW,2216,,(02) 9556 3835,http://www.dermatest.com.au,,,,,,info@dermatest.com.au,-33.95261,151.13964
Chemists--Consulting & Industrial,Chemist Outlet,507 Princes Hwy,Rockdale,NSW,2216,,(02) 9597 3431,,,,,,,,-33.95244,151.13738
Chemists--Consulting & Industrial,Dermatest Pty Ltd,22 King St,Rockdale,NSW,2216,,295562601,http://www.dermatest.com.au,,,,,,info@dermatest.com.au,-33.95261,151.13964
Chemists--Consulting & Industrial,TT & T Chemical Services,32 Edith St,Hurstville,NSW,2220,,(02) 9150 8172,,,,,,,,-33.95428,151.09848
Chemists--Consulting & Industrial,New Age Technologies Pty Ltd,6 Queensbury Rd,Penshurst,NSW,2222,,(02) 9579 6196,,,,,,,,-33.96059,151.07891
Chemists--Consulting & Industrial,Priest Don C,54 Oyster Bay Rd,Oyster Bay,NSW,2225,,(02) 9528 9390,,,,,,,,-34.00819,151.08464
Chemists--Consulting & Industrial,Pharmacy For Real Professional Compounding,"7, 544 Box Road (Corner Box Rd and Roberts St",Jannali,NSW,2226,,295288333,http://www.pharmacyforreal.com.au,,,,,,info@pharmacyforreal.com.au,-34.016378,151.066715
Chemists--Consulting & Industrial,Granfield Pty Ltd,9 Redgum Ave,Cronulla,NSW,2230,,(02) 9523 2306,,,,,,,,-34.06903,151.14925
